ImageNumber,ObjectNumber,FileName_Spindle,PathName_Spindle,AreaShape_Area,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_MajorAxisLength,AreaShape_MinorAxisLength,AreaShape_Orientation,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number
40,8,AurA_June7_A_5_frontface_z350c2.jpeg,Z:\Users\Andreas\AurA_MdP_Vectors\AurA_June7_A_5,317,2427.8233438485804,837.596214511041,73.14936824879072,7.535746478115458,79.91656853159955,2427.8233438485804,837.596214511041,0,8
40,9,AurA_June7_A_5_frontface_z350c2.jpeg,Z:\Users\Andreas\AurA_MdP_Vectors\AurA_June7_A_5,239,1989.8410041841005,865.9581589958159,65.11866541396404,5.302299216120585,-49.602948560016884,1989.8410041841005,865.9581589958159,0,9
40,10,AurA_June7_A_5_frontface_z350c2.jpeg,Z:\Users\Andreas\AurA_MdP_Vectors\AurA_June7_A_5,392,2332.2678571428573,863.094387755102,88.84734851178278,6.023846769108549,74.75728793786772,2332.2678571428573,863.094387755102,0,10
40,11,AurA_June7_A_5_frontface_z350c2.jpeg,Z:\Users\Andreas\AurA_MdP_Vectors\AurA_June7_A_5,348,2861.9080459770116,961.9913793103449,85.92001432074622,7.665773716460665,65.34574707581899,2861.9080459770116,961.9913793103449,0,11
40,12,AurA_June7_A_5_frontface_z350c2.jpeg,Z:\Users\Andreas\AurA_MdP_Vectors\AurA_June7_A_5,249,2535.409638554217,989.9317269076305,64.08889251084108,5.581722152638257,34.24217195807352,2535.409638554217,989.9317269076305,0,12
40,13,AurA_June7_A_5_frontface_z350c2.jpeg,Z:\Users\Andreas\AurA_MdP_Vectors\AurA_June7_A_5,409,2310.117359413203,1103.195599022005,100.37598259632794,5.906837323612402,-28.12151981633455,2310.117359413203,1103.195599022005,0,13
40,14,AurA_June7_A_5_frontface_z350c2.jpeg,Z:\Users\Andreas\AurA_MdP_Vectors\AurA_June7_A_5,356,1614.056179775281,1105.6573033707866,88.69834414414046,6.386434943611718,-44.288045694683014,1614.056179775281,1105.6573033707866,0,14
40,15,AurA_June7_A_5_frontface_z350c2.jpeg,Z:\Users\Andreas\AurA_MdP_Vectors\AurA_June7_A_5,258,2792.4341085271317,1111.0232558139535,63.37289533308522,5.983144390415136,64.23791972577246,2792.4341085271317,1111.0232558139535,0,15
40,16,AurA_June7_A_5_frontface_z350c2.jpeg,Z:\Users\Andreas\AurA_MdP_Vectors\AurA_June7_A_5,202,952.950495049505,1272.5643564356435,47.07881602271935,5.896331974787245,86.5328998713392,952.950495049505,1272.5643564356435,0,16
40,17,AurA_June7_A_5_frontface_z350c2.jpeg,Z:\Users\Andreas\AurA_MdP_Vectors\AurA_June7_A_5,135,2969.488888888889,1279.4962962962964,33.27457331685599,5.41607875931734,62.35263857174502,2969.488888888889,1279.4962962962964,0,17
40,18,AurA_June7_A_5_frontface_z350c2.jpeg,Z:\Users\Andreas\AurA_MdP_Vectors\AurA_June7_A_5,355,1234.0732394366198,1349.4253521126761,82.05218460434862,6.495659932920684,-11.951662881774995,1234.0732394366198,1349.4253521126761,0,18
40,19,AurA_June7_A_5_frontface_z350c2.jpeg,Z:\Users\Andreas\AurA_MdP_Vectors\AurA_June7_A_5,335,1864.4059701492538,1401.1432835820895,76.83715737164938,6.311263308514272,15.206013988897183,1864.4059701492538,1401.1432835820895,0,19
40,20,AurA_June7_A_5_frontface_z350c2.jpeg,Z:\Users\Andreas\AurA_MdP_Vectors\AurA_June7_A_5,308,2285.185064935065,1409.7597402597403,69.67682067384848,6.384355058076363,12.249721790797164,2285.185064935065,1409.7597402597403,0,20
40,21,AurA_June7_A_5_frontface_z350c2.jpeg,Z:\Users\Andreas\AurA_MdP_Vectors\AurA_June7_A_5,170,2950.170588235294,1402.070588235294,46.9239347075693,5.4231713550220215,49.532729984215656,2950.170588235294,1402.070588235294,0,21
40,22,AurA_June7_A_5_frontface_z350c2.jpeg,Z:\Users\Andreas\AurA_MdP_Vectors\AurA_June7_A_5,293,2784.4027303754265,1483.6825938566553,68.9312355672676,6.330321506122407,24.37774851511584,2784.4027303754265,1483.6825938566553,0,22
40,23,AurA_June7_A_5_frontface_z350c2.jpeg,Z:\Users\Andreas\AurA_MdP_Vectors\AurA_June7_A_5,311,3038.4051446945336,1526.7363344051446,73.66869578149209,7.267164728390623,-33.622406805187744,3038.4051446945336,1526.7363344051446,0,23
40,24,AurA_June7_A_5_frontface_z350c2.jpeg,Z:\Users\Andreas\AurA_MdP_Vectors\AurA_June7_A_5,261,2862.885057471264,1554.2911877394636,61.554207308745085,6.002077906967035,34.42259097277224,2862.885057471264,1554.2911877394636,0,24
40,25,AurA_June7_A_5_frontface_z350c2.jpeg,Z:\Users\Andreas\AurA_MdP_Vectors\AurA_June7_A_5,344,1224.25,1570.7093023255813,78.89375026332218,7.161323362216648,9.455536409631195,1224.25,1570.7093023255813,0,25
40,26,AurA_June7_A_5_frontface_z350c2.jpeg,Z:\Users\Andreas\AurA_MdP_Vectors\AurA_June7_A_5,382,745.9554973821989,1603.109947643979,92.00022490657489,6.808179985005913,-64.80930015737273,745.9554973821989,1603.109947643979,0,26
40,27,AurA_June7_A_5_frontface_z350c2.jpeg,Z:\Users\Andreas\AurA_MdP_Vectors\AurA_June7_A_5,361,634.6925207756233,1642.7368421052631,82.78635661663006,6.068681919701184,-88.91598144403298,634.6925207756233,1642.7368421052631,0,27
